date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
3/4/2021,ARKF,SQUARE INC - A,SQ,852234103,1879121,,9.94
3/4/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,933156,,5.4
3/4/2021,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1337050,,4.42
3/4/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,1316271,,3.75
3/4/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1894769,,3.99
3/4/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1477769,,3.98
3/4/2021,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,2127047,,3.55
3/4/2021,ARKF,SEA LTD-ADR,SE,81141R100,625918,,3.48
3/4/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,131122,,3.65
3/4/2021,ARKF,ADYEN NV,ADYEN,BZ1HM42,58379,,3.17
3/4/2021,ARKF,YEAHKA LTD,9923,BL58D39,11673200,,2.92
3/4/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,4372551,,2.58
3/4/2021,ARKF,MERCADOLIBRE INC,MELI,58733R102,79528,,2.81
3/4/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,501708,,2.8
3/4/2021,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,429584,,2.68
3/4/2021,ARKF,SNAP INC - A,SNAP,83304A106,1901411,,2.66
3/4/2021,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,15608045,,2.47
3/4/2021,ARKF,MEITUAN-CLASS B,3690,BGJW376,2315782,,2.46
3/4/2021,ARKF,TWILIO INC - A,TWLO,90138F102,297665,,2.5
3/4/2021,ARKF,DOCUSIGN INC,DOCU,256163106,403271,,2.06
3/4/2021,ARKF,Z HOLDINGS CORP,4689,6084848,14532230,,1.98
3/4/2021,ARKF,APPLE INC,AAPL,37833100,680306,,1.98
3/4/2021,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,329552,,1.84
3/4/2021,ARKF,INTUIT INC,INTU,461202103,201354,,1.84
3/4/2021,ARKF,AMAZON.COM INC,AMZN,23135106,24830,,1.79
3/4/2021,ARKF,JD.COM INC-ADR,JD,47215P106,678901,,1.49
3/4/2021,ARKF,TELADOC HEALTH INC,TDOC,87918A105,285443,,1.35
3/4/2021,ARKF,DISCOVERY LTD,DSY,6177878,5520638,,1.29
3/4/2021,ARKF,KE HOLDINGS INC,BEKE,482497104,855085,,1.09
3/4/2021,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,398345,,1.12
3/4/2021,ARKF,SCHWAB (CHARLES) CORP,SCHW,808513105,717737,,1.13
3/4/2021,ARKF,HDFC BANK LTD-ADR,HDB,40415F101,551001,,1.09
3/4/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,412236,,1.07
3/4/2021,ARKF,BASE INC,4477,BKRQ8Q2,460000,,1.03
3/4/2021,ARKF,PING AN HEALTHCARE AND TECHN,1833,BDRYVB3,3039900,,1.02
3/4/2021,ARKF,PINDUODUO INC-ADR,PDD,722304102,246895,,0.95
3/4/2021,ARKF,NVIDIA CORP,NVDA,67066G104,79800,,0.96
3/4/2021,ARKF,DRAFTKINGS INC - CL A,DKNG,26142R104,546631,,0.82
3/4/2021,ARKF,BILL.COM HOLDINGS INC,BILL,90043100,140611,,0.51
3/4/2021,ARKF,LENDINGCLUB CORP,LC,52603A208,1809785,,0.48
3/4/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,262839,,0.39
3/4/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,57060D108,33435,,0.39
3/4/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,95007,,0.16
3/4/2021,ARKF,SPLUNK INC,SPLK,848637104,23715,,0.08
3/4/2021,ARKF,VERISK ANALYTICS INC,VRSK,92345Y106,18543,,0.07
